Time,Subsystem 104,Subsystem 121
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000180,0.000000
5,0.000720,0.000000
6,0.001440,0.000000
7,0.000000,0.000000
8,0.001080,0.001260
9,0.000000,0.002521
10,0.001080,0.005041
11,0.000000,0.007562
12,0.000000,0.011343
13,0.000000,0.000000
14,0.000000,0.003781
15,0.000000,0.007562
16,0.000000,0.000000
17,0.000000,0.005041
18,0.000000,0.011343
19,0.000000,0.000000
20,0.000000,0.007562
21,0.000000,0.000000
22,0.000000,0.008822
23,0.000000,0.000000
24,0.000000,0.010082
25,0.000000,0.000000
26,0.000000,0.011343
27,0.000000,0.000000
28,0.000000,0.011343
29,0.000000,0.000000
30,0.000000,0.011343
31,0.000000,0.000000
32,0.000000,0.011343
33,0.000000,0.000000
34,0.000000,0.011343
35,0.000000,0.000000
36,0.000000,0.011343
37,0.000000,0.000000
38,0.000000,0.011343
39,0.000000,0.000000
40,0.000000,0.011343
41,0.000000,0.000000
42,0.000000,0.011343
43,0.000000,0.000000
44,0.000000,0.011343
45,0.000000,0.000000
46,0.000000,0.011343
47,0.000000,0.000000
48,0.000000,0.011343
49,0.000000,0.000000
50,0.000000,0.011343
51,0.000000,0.000000
52,0.000000,0.011343
53,0.000000,0.000000
54,0.000000,0.011343
55,0.000000,0.000000
56,0.000000,0.011343
57,0.000000,0.000000
58,0.000000,0.011343
59,0.000000,0.000000
60,0.000000,0.010082
61,0.000000,0.000000
62,0.000000,0.011343
63,0.000000,0.000000
64,0.000000,0.010082
65,0.000000,0.000000
66,0.000000,0.011343
67,0.000000,0.000000
68,0.000000,0.011343
69,0.000000,0.000000
70,0.000000,0.011343
71,0.000000,0.000000
72,0.000000,0.011343
73,0.000000,0.000000
74,0.000000,0.011343
75,0.000000,0.000000
76,0.000000,0.011343
77,0.000000,0.000000
78,0.000000,0.011343
79,0.000000,0.000000
80,0.000000,0.011343
81,0.000000,0.000000
82,0.000000,0.011343
83,0.000000,0.000000
84,0.000000,0.011343
85,0.000000,0.000000
86,0.000000,0.011343
87,0.000000,0.000000
88,0.000000,0.011343
89,0.000000,0.000000
90,0.000000,0.011343
91,0.000000,0.000000
92,0.000000,0.011343
93,0.000000,0.000000
94,0.000000,0.011343
95,0.000000,0.000000
96,0.000000,0.011343
97,0.000000,0.000000
98,0.000000,0.011343
99,0.000000,0.000000
100,0.000000,0.011343
101,0.000000,0.000000
102,0.000000,0.011343
103,0.000000,0.000000
104,0.000000,0.011343
105,0.000000,0.000000
106,0.000000,0.011343
107,0.000000,0.000000
108,0.000000,0.011343
109,0.000000,0.000000
110,0.000000,0.011343
111,0.000000,0.000000
112,0.000000,0.011343
113,0.000000,0.000000
114,0.000000,0.011343
115,0.000000,0.000000
116,0.000000,0.011343
117,0.000000,0.000000
118,0.000000,0.011343
119,0.000000,0.000000
120,0.000000,0.011343
121,0.000000,0.000000
122,0.000000,0.011343
123,0.000000,0.000000
124,0.000000,0.011343
125,0.000000,0.000000
126,0.000000,0.011343
127,0.000000,0.000000
128,0.000000,0.011343
129,0.000000,0.000000
130,0.000000,0.011343
131,0.000000,0.000000
132,0.000000,0.011343
133,0.000000,0.000000
134,0.000000,0.011343
135,0.000000,0.000000
136,0.000000,0.000000
137,0.000000,0.000000
138,0.000000,0.000000
139,0.000000,0.000000
140,0.000000,0.000000
141,0.000000,0.000000
142,0.000000,0.000000
143,0.000000,0.000000
144,0.000000,0.000000
145,0.000000,0.000000
146,0.000000,0.000000
147,0.000000,0.000000
148,0.000000,0.000000
149,0.000000,0.000000
150,0.000000,0.000000
151,0.000000,0.000000
152,0.000000,0.000000
153,0.000000,0.000000
154,0.000000,0.000000
155,0.000000,0.000000
156,0.000000,0.000000
157,0.000000,0.000000
158,0.000000,0.000000
159,0.000000,0.000000
160,0.000000,0.000000
161,0.000000,0.000000
162,0.000000,0.000000
163,0.000000,0.000000
164,0.000000,0.000000
165,0.000000,0.000000
166,0.000000,0.000000
167,0.000000,0.000000
168,0.000000,0.000000
169,0.000000,0.000000
170,0.000000,0.000000
171,0.000000,0.000000
172,0.000000,0.000000
173,0.000000,0.000000
174,0.000000,0.000000
175,0.000000,0.000000
176,0.000000,0.000000
177,0.000000,0.000000
178,0.000000,0.000000
179,0.000000,0.000000
180,0.000000,0.000000
181,0.000000,0.000000
182,0.000000,0.000000
183,0.000000,0.000000
184,0.000000,0.000000
185,0.000000,0.000000
186,0.000000,0.000000
187,0.000000,0.000000
188,0.000000,0.000000
189,0.000000,0.000000
190,0.000000,0.000000
191,0.000000,0.011343
192,0.000000,0.000000
193,0.000000,0.011343
194,0.000000,0.000000
195,0.000000,0.011343
196,0.000000,0.000000
197,0.000000,0.011343
198,0.000000,0.000000
199,0.000000,0.011343
200,0.000000,0.000000
201,0.000000,0.011343
202,0.000000,0.000000
203,0.000000,0.011343
204,0.000000,0.000000
205,0.000000,0.011343
206,0.000000,0.000000
207,0.000000,0.011343
208,0.000000,0.000000
209,0.000000,0.011343
210,0.000000,0.000000
211,0.000000,0.011343
212,0.000000,0.000000
213,0.000000,0.011343
214,0.000000,0.000000
215,0.000000,0.011343
216,0.000000,0.000000
217,0.000000,0.011343
218,0.000000,0.000000
219,0.000000,0.011343
220,0.000000,0.000000
221,0.000000,0.011343
222,0.000000,0.000000
223,0.000000,0.011343
224,0.000000,0.000000
225,0.000000,0.011343
226,0.000000,0.000000
227,0.000000,0.011343
228,0.000000,0.000000
229,0.000000,0.011343
230,0.000000,0.000000
231,0.000000,0.011343
232,0.000000,0.000000
233,0.000000,0.011343
234,0.000000,0.000000
235,0.000000,0.011343
236,0.000000,0.000000
237,0.000000,0.011343
238,0.000000,0.000000
239,0.000000,0.011343
240,0.000000,0.000000
241,0.000000,0.011343
242,0.000000,0.000000
243,0.000000,0.011343
244,0.000000,0.000000
245,0.000000,0.011343
246,0.000000,0.000000
247,0.000000,0.011343
248,0.000000,0.000000
249,0.000000,0.011343
