3,0,2,0
12,0,2,0
24,0,3,0
2,0,2,0
8,0,17,0
18,0,2,0
32,0,1,0
54,0,14,0
1,0,6,0
48,0,2,0
9,0,5,0
19,0,4,0
22,0,1,0
34,0,2,0
46,0,1,0
6,0,1,0
16,0,2,0
56,0,4,0
21,0,1,0
55,0,1,0
3,0,2,10
12,0,1,10
24,0,4,10
0,0,3,10
8,0,12,10
18,0,3,10
54,0,12,10
48,0,5,10
9,0,7,10
19,0,1,10
22,0,3,10
46,0,1,10
6,0,1,10
56,0,3,10
37,0,1,10
3,0,1,20
12,0,2,20
24,0,2,20
0,0,1,20
8,0,13,20
18,0,1,20
32,0,2,20
54,0,15,20
9,0,4,20
19,0,1,20
22,0,1,20
33,0,1,20
46,0,1,20
56,0,3,20
11,0,1,20
37,0,1,20
3,0,1,30
12,0,1,30
8,0,16,30
32,0,1,30
54,0,9,30
49,0,1,30
48,0,1,30
9,0,10,30
33,0,2,30
34,0,1,30
56,0,2,30
37,0,1,30
55,0,1,30
3,0,3,40
24,0,3,40
8,0,16,40
54,0,14,40
1,0,1,40
48,0,1,40
9,0,9,40
19,0,3,40
22,0,2,40
34,0,2,40
46,0,1,40
6,0,3,40
56,0,1,40
3,0,1,50
0,0,1,50
2,0,1,50
8,0,10,50
18,0,2,50
32,0,1,50
54,0,14,50
49,0,1,50
48,0,1,50
9,0,3,50
19,0,1,50
22,0,2,50
33,0,1,50
34,0,1,50
56,0,4,50
11,0,1,50
3,0,4,60
12,0,1,60
24,0,4,60
0,0,1,60
2,0,1,60
8,0,19,60
18,0,7,60
32,0,2,60
54,0,12,60
48,0,1,60
9,0,4,60
19,0,3,60
22,0,2,60
34,0,1,60
46,0,1,60
6,0,2,60
56,0,3,60
11,0,1,60
37,0,1,60
3,0,3,70
24,0,4,70
2,0,1,70
8,0,7,70
18,0,1,70
54,0,9,70
1,0,2,70
9,0,7,70
19,0,3,70
22,0,1,70
46,0,1,70
56,0,7,70
21,0,1,70
37,0,1,70
3,0,4,80
24,0,1,80
0,0,2,80
2,0,1,80
8,0,15,80
18,0,7,80
54,0,15,80
49,0,1,80
9,0,3,80
19,0,1,80
22,0,4,80
33,0,2,80
34,0,2,80
46,0,2,80
6,0,1,80
16,0,1,80
56,0,7,80
3,0,3,90
24,0,1,90
8,0,11,90
18,0,1,90
54,0,3,90
1,0,2,90
48,0,1,90
9,0,5,90
19,0,2,90
22,0,5,90
46,0,1,90
6,0,2,90
56,0,3,90
21,0,1,90
3,0,5,100
24,0,1,100
2,0,1,100
8,0,16,100
18,0,3,100
32,0,1,100
54,0,14,100
1,0,1,100
49,0,1,100
48,0,1,100
9,0,8,100
19,0,1,100
22,0,4,100
33,0,1,100
34,0,1,100
46,0,2,100
56,0,4,100
3,0,2,110
24,0,2,110
0,0,1,110
8,0,10,110
18,0,1,110
32,0,1,110
54,0,20,110
1,0,1,110
48,0,3,110
9,0,4,110
19,0,3,110
22,0,1,110
34,0,2,110
46,0,5,110
6,0,2,110
56,0,4,110
3,0,5,120
12,0,1,120
24,0,1,120
8,0,12,120
18,0,3,120
32,0,1,120
54,0,6,120
1,0,2,120
9,0,12,120
19,0,1,120
22,0,4,120
33,0,1,120
56,0,2,120
11,0,1,120
37,0,1,120
3,2,1,0
24,2,1,0
8,2,28,0
18,2,2,0
32,2,5,0
1,2,1,0
48,2,38,0
34,2,1,0
16,2,1,0
56,2,6,0
11,2,23,0
21,2,11,0
55,2,1,0
3,2,4,10
24,2,1,10
0,2,1,10
8,2,22,10
18,2,3,10
32,2,3,10
48,2,35,10
6,2,1,10
56,2,5,10
11,2,6,10
21,2,1,10
37,2,1,10
55,2,1,10
3,2,2,20
8,2,28,20
18,2,1,20
32,2,2,20
48,2,39,20
9,2,1,20
6,2,1,20
16,2,2,20
11,2,16,20
21,2,2,20
23,2,2,20
3,2,2,30
8,2,16,30
18,2,4,30
32,2,1,30
49,2,1,30
48,2,26,30
16,2,1,30
56,2,1,30
11,2,2,30
21,2,1,30
23,2,1,30
12,2,1,40
24,2,1,40
0,2,1,40
8,2,28,40
18,2,2,40
32,2,1,40
48,2,26,40
6,2,1,40
56,2,2,40
11,2,10,40
21,2,1,40
23,2,2,40
37,2,2,40
55,2,3,40
3,2,1,50
8,2,35,50
18,2,2,50
32,2,4,50
48,2,26,50
6,2,1,50
56,2,4,50
11,2,6,50
21,2,2,50
23,2,1,50
55,2,1,50
3,2,1,60
24,2,3,60
8,2,31,60
18,2,6,60
32,2,1,60
54,2,2,60
49,2,1,60
48,2,25,60
9,2,1,60
19,2,1,60
46,2,1,60
6,2,2,60
16,2,1,60
56,2,2,60
11,2,9,60
21,2,2,60
3,2,3,70
8,2,27,70
18,2,6,70
32,2,3,70
54,2,2,70
48,2,29,70
46,2,1,70
6,2,8,70
11,2,2,70
21,2,3,70
3,2,2,80
8,2,44,80
18,2,3,80
54,2,1,80
48,2,18,80
6,2,3,80
56,2,2,80
11,2,3,80
21,2,2,80
37,2,5,80
55,2,1,80
3,2,3,90
24,2,1,90
0,2,1,90
8,2,41,90
18,2,6,90
32,2,2,90
48,2,25,90
6,2,2,90
16,2,1,90
56,2,6,90
11,2,5,90
21,2,3,90
23,2,2,90
37,2,1,90
55,2,1,90
3,2,3,100
8,2,34,100
18,2,2,100
32,2,2,100
54,2,1,100
1,2,1,100
48,2,26,100
6,2,3,100
56,2,4,100
11,2,6,100
21,2,1,100
37,2,1,100
55,2,2,100
3,2,2,110
24,2,1,110
8,2,35,110
18,2,1,110
32,2,1,110
48,2,20,110
33,2,1,110
46,2,1,110
6,2,8,110
16,2,1,110
56,2,4,110
11,2,7,110
21,2,5,110
37,2,2,110
12,2,1,120
8,2,54,120
18,2,1,120
1,2,1,120
48,2,18,120
6,2,1,120
11,2,7,120
21,2,1,120
23,2,1,120
0,3,1,0
2,3,1,0
8,3,70,0
18,3,5,0
32,3,1,0
54,3,4,0
1,3,13,0
48,3,4,0
9,3,8,0
19,3,1,0
22,3,3,0
33,3,1,0
6,3,1,0
16,3,3,0
56,3,1,0
11,3,4,0
21,3,2,0
12,3,1,10
0,3,2,10
2,3,1,10
8,3,61,10
18,3,8,10
54,3,5,10
1,3,2,10
48,3,5,10
9,3,3,10
19,3,1,10
22,3,2,10
6,3,3,10
56,3,1,10
11,3,6,10
