0,4,180,40,0
4,0,180,40,0
1,5,180,40,0
5,1,180,40,0
2,7,180,40,0
7,2,180,40,0
3,4,180,40,0
4,3,180,40,0
4,5,210,46,0
5,4,210,46,0
4,9,315,70,0
9,4,315,70,0
5,10,315,70,0
5,6,225,50,0
6,5,225,50,0
6,7,225,50,0
7,6,225,50,0
7,8,180,40,0
8,7,180,40,0
7,11,330,74,0
11,7,330,74,0
9,13,315,70,0
13,9,315,70,0
10,15,315,70,0
10,55,105,24,1
55,10,105,24,1
11,17,330,74,0
17,11,330,74,0
12,13,180,40,0
13,12,180,40,0
13,14,105,24,0
14,13,105,24,0
13,19,290,64,0
19,13,290,64,0
14,55,435,96,1
55,14,435,96,1
14,15,105,24,0
15,14,105,24,0
15,16,225,50,0
16,15,225,50,0
15,20,435,96,0
16,17,225,50,0
17,16,225,50,0
17,18,180,40,0
18,17,180,40,0
17,21,300,66,0
21,17,300,66,0
19,22,290,64,0
22,19,290,64,0
20,55,105,24,1
55,20,105,24,1
20,28,435,96,0
21,23,300,66,0
23,21,300,66,0
22,25,290,64,0
25,22,290,64,0
23,31,300,66,0
31,23,300,66,0
24,25,180,40,0
25,24,180,40,0
25,26,90,20,0
26,25,90,20,0
25,33,120,26,0
33,25,120,26,0
26,27,90,20,0
27,26,90,20,0
26,34,120,26,1
34,26,120,26,1
27,28,90,20,0
28,27,90,20,0
27,35,120,26,0
35,27,120,26,0
28,29,115,26,0
29,28,115,26,0
29,30,110,24,0
30,29,110,24,0
29,56,140,30,1
56,29,140,30,1
30,31,45,10,0
31,30,45,10,0
36,30,135,30,0
31,32,180,40,0
32,31,180,40,0
31,37,150,34,0
37,31,150,34,0
33,38,120,26,0
38,33,120,26,0
34,35,90,20,1
35,34,90,20,1
34,39,120,26,1
39,34,120,26,1
56,36,110,24,1
36,56,110,24,1
35,40,120,26,0
40,35,120,26,0
56,41,90,20,1
41,56,90,20,1
42,36,135,30,0
37,43,150,34,0
37,44,150,34,0
44,37,150,34,0
38,39,90,20,0
39,38,90,20,0
38,45,90,20,0
45,38,90,20,0
39,40,90,20,0
40,39,90,20,0
40,41,100,22,0
41,40,100,22,0
41,42,50,12,0
42,41,50,12,0
42,43,90,20,0
43,42,90,20,0
42,47,90,20,0
47,42,90,20,0
43,44,45,10,0
44,43,45,10,0
44,48,90,20,0
48,44,90,20,0
45,46,180,40,1
46,45,180,40,1
45,50,90,20,0
50,45,90,20,0
46,51,90,20,1
51,46,90,20,1
47,56,90,20,0
56,47,90,20,0
47,52,90,20,0
52,47,90,20,0
49,50,180,40,0
50,51,120,26,0
51,50,120,26,0
50,54,180,40,0
54,50,180,40,0
51,52,120,26,0
52,51,120,26,0
52,53,100,22,0
