Time,North,East,South,West
1,no signal,blue,red,blue
2,no signal,blue,red,blue
3,no signal,blue,red,blue
4,no signal,blue,red,blue
5,no signal,blue,red,blue
6,no signal,blue,red,blue
7,no signal,blue,red,blue
8,no signal,blue,red,blue
9,no signal,blue,red,blue
10,no signal,blue,red,blue
11,no signal,blue,red,blue
12,no signal,blue,red,blue
13,no signal,blue,red,blue
14,no signal,blue,red,blue
15,no signal,blue,red,blue
16,no signal,blue,red,blue
17,no signal,blue,red,blue
18,no signal,blue,red,blue
19,no signal,blue,red,blue
20,no signal,blue,red,blue
21,no signal,blue,red,blue
22,no signal,blue,red,blue
23,no signal,blue,red,blue
24,no signal,blue,red,blue
25,no signal,blue,red,blue
26,no signal,blue,red,blue
27,no signal,blue,red,blue
28,no signal,blue,red,blue
29,no signal,blue,red,blue
30,no signal,blue,red,blue
31,no signal,blue,red,blue
32,no signal,blue,red,blue
33,no signal,blue,red,blue
34,no signal,blue,red,blue
35,no signal,blue,red,blue
36,no signal,blue,red,blue
37,no signal,blue,red,blue
38,no signal,blue,red,blue
39,no signal,blue,red,blue
40,no signal,blue,red,blue
41,no signal,blue,red,blue
42,no signal,blue,red,blue
43,no signal,blue,red,blue
44,no signal,blue,red,blue
45,no signal,blue,red,blue
46,no signal,blue,red,blue
47,no signal,blue,red,blue
48,no signal,blue,red,blue
49,no signal,blue,red,blue
50,no signal,blue,red,blue
51,no signal,blue,red,blue
52,no signal,blue,red,blue
53,no signal,blue,red,blue
54,no signal,blue,red,blue
55,no signal,blue,red,blue
56,no signal,blue,red,blue
57,no signal,blue,red,blue
58,no signal,blue,red,blue
59,no signal,blue,red,blue
60,no signal,blue,red,blue
61,no signal,blue,red,blue
62,no signal,blue,red,blue
63,no signal,blue,red,blue
64,no signal,yellow,red,blue
65,no signal,yellow,red,blue
66,no signal,yellow,red,blue
67,no signal,red,red,blue
68,no signal,red,red,blue
69,no signal,red,red,blue
70,no signal,red,red,blue
71,no signal,red,red,blue
72,no signal,red,red,blue
73,no signal,red,red,blue
74,no signal,red,red,blue
75,no signal,red,red,blue
76,no signal,red,red,blue
77,no signal,red,red,blue
78,no signal,red,red,blue
79,no signal,red,red,blue
80,no signal,red,red,blue
81,no signal,red,red,blue
82,no signal,red,red,blue
83,no signal,red,red,blue
84,no signal,red,red,blue
85,no signal,red,red,blue
86,no signal,red,red,blue
87,no signal,red,red,blue
88,no signal,red,red,yellow
89,no signal,red,red,yellow
90,no signal,red,red,yellow
91,no signal,red,red,red
92,no signal,red,red,red
93,no signal,red,red,red
94,no signal,red,blue,red
95,no signal,red,blue,red
96,no signal,red,blue,red
97,no signal,red,blue,red
98,no signal,red,blue,red
99,no signal,red,blue,red
100,no signal,red,blue,red
101,no signal,red,blue,red
102,no signal,red,blue,red
103,no signal,red,blue,red
104,no signal,red,blue,red
105,no signal,red,blue,red
