Time,North,East,South,West
1,blue,red,blue,no signal
2,blue,red,blue,no signal
3,blue,red,blue,no signal
4,blue,red,blue,no signal
5,blue,red,blue,no signal
6,blue,red,blue,no signal
7,blue,red,blue,no signal
8,blue,red,blue,no signal
9,blue,red,blue,no signal
10,blue,red,blue,no signal
11,blue,red,blue,no signal
12,blue,red,blue,no signal
13,blue,red,blue,no signal
14,blue,red,blue,no signal
15,blue,red,blue,no signal
16,blue,red,blue,no signal
17,blue,red,blue,no signal
18,blue,red,blue,no signal
19,blue,red,blue,no signal
20,blue,red,blue,no signal
21,blue,red,blue,no signal
22,blue,red,blue,no signal
23,blue,red,blue,no signal
24,blue,red,blue,no signal
25,blue,red,blue,no signal
26,blue,red,blue,no signal
27,blue,red,blue,no signal
28,blue,red,blue,no signal
29,blue,red,blue,no signal
30,blue,red,blue,no signal
31,blue,red,blue,no signal
32,blue,red,blue,no signal
33,blue,red,blue,no signal
34,blue,red,blue,no signal
35,blue,red,blue,no signal
36,blue,red,blue,no signal
37,blue,red,blue,no signal
38,blue,red,blue,no signal
39,blue,red,blue,no signal
40,blue,red,blue,no signal
41,blue,red,blue,no signal
42,blue,red,blue,no signal
43,blue,red,blue,no signal
44,yellow,red,yellow,no signal
45,yellow,red,yellow,no signal
46,yellow,red,yellow,no signal
47,yellow,red,yellow,no signal
48,red,red,red,no signal
49,red,red,red,no signal
50,red,blue,red,no signal
51,red,blue,red,no signal
52,red,blue,red,no signal
53,red,blue,red,no signal
54,red,blue,red,no signal
55,red,blue,red,no signal
56,red,blue,red,no signal
57,red,blue,red,no signal
58,red,blue,red,no signal
59,red,blue,red,no signal
60,red,blue,red,no signal
61,red,blue,red,no signal
62,red,blue,red,no signal
63,red,blue,red,no signal
64,red,blue,red,no signal
65,red,blue,red,no signal
66,red,blue,red,no signal
67,red,blue,red,no signal
68,red,blue,red,no signal
69,red,blue,red,no signal
70,red,blue,red,no signal
71,red,blue,red,no signal
72,red,blue,red,no signal
73,red,blue,red,no signal
74,red,blue,red,no signal
75,red,blue,red,no signal
76,red,blue,red,no signal
77,red,blue,red,no signal
78,red,blue,red,no signal
79,red,blue,red,no signal
80,red,blue,red,no signal
81,red,blue,red,no signal
82,red,blue,red,no signal
83,red,blue,red,no signal
84,red,blue,red,no signal
85,red,blue,red,no signal
86,red,blue,red,no signal
87,red,blue,red,no signal
88,red,blue,red,no signal
89,red,blue,red,no signal
90,red,blue,red,no signal
91,red,blue,red,no signal
92,red,blue,red,no signal
93,red,blue,red,no signal
94,red,blue,red,no signal
95,red,blue,red,no signal
96,red,blue,red,no signal
97,red,blue,red,no signal
98,red,blue,red,no signal
99,red,blue,red,no signal
100,red,blue,red,no signal
101,red,blue,red,no signal
102,red,blue,red,no signal
103,red,blue,red,no signal
104,red,yellow,red,no signal
105,red,yellow,red,no signal
106,red,yellow,red,no signal
107,red,yellow,red,no signal
108,red,red,red,no signal
109,red,red,red,no signal
110,red,red,red,no signal
111,red,red,red,no signal
112,red,red,red,no signal
113,red,red,red,no signal
114,red,red,red,no signal
115,red,red,red,no signal
116,red,red,red,no signal
117,red,red,red,no signal
118,red,red,red,no signal
119,red,red,red,no signal
120,blue,red,blue,no signal
121,blue,red,blue,no signal
122,blue,red,blue,no signal
123,blue,red,blue,no signal
124,blue,red,blue,no signal
125,blue,red,blue,no signal
126,blue,red,blue,no signal
127,blue,red,blue,no signal
128,blue,red,blue,no signal
129,blue,red,blue,no signal
130,blue,red,blue,no signal
