Time,Mean,Mean+SD,Mean-SD,SD
145,0.003714,0.003718,0.003711,0.000003
146,0.003707,0.003710,0.003704,0.000003
147,0.003703,0.003706,0.003700,0.000003
148,0.003692,0.003695,0.003689,0.000003
149,0.003680,0.003683,0.003678,0.000003
150,0.003672,0.003675,0.003670,0.000003
151,0.003654,0.003657,0.003652,0.000002
152,0.003644,0.003646,0.003642,0.000002
153,0.003632,0.003634,0.003630,0.000002
154,0.003618,0.003620,0.003616,0.000002
155,0.003603,0.003604,0.003601,0.000002
156,0.003588,0.003589,0.003586,0.000001
157,0.003573,0.003574,0.003571,0.000001
158,0.003557,0.003558,0.003556,0.000001
159,0.003541,0.003542,0.003540,0.000001
160,0.003525,0.003526,0.003525,0.000001
161,0.003511,0.003512,0.003511,0.000001
162,0.003498,0.003499,0.003497,0.000001
163,0.003484,0.003485,0.003483,0.000001
164,0.003471,0.003471,0.003470,0.000000
165,0.003459,0.003460,0.003459,0.000000
166,0.003448,0.003448,0.003447,0.000000
167,0.003437,0.003437,0.003437,0.000000
168,0.003427,0.003428,0.003427,0.000000
169,0.003419,0.003419,0.003418,0.000000
170,0.003411,0.003411,0.003411,0.000000
171,0.003404,0.003404,0.003404,0.000000
172,0.003397,0.003397,0.003397,0.000000
173,0.003391,0.003391,0.003391,0.000000
174,0.003385,0.003386,0.003385,0.000000
175,0.003375,0.003376,0.003375,0.000000
176,0.003366,0.003366,0.003366,0.000000
177,0.003357,0.003357,0.003357,0.000000
178,0.003355,0.003355,0.003355,0.000000
179,0.003354,0.003354,0.003354,0.000000
180,0.003354,0.003354,0.003354,0.000000
181,0.003353,0.003353,0.003353,0.000000
182,0.003353,0.003353,0.003353,0.000000
183,0.003353,0.003353,0.003352,0.000000
184,0.003352,0.003352,0.003352,0.000000
185,0.003352,0.003352,0.003352,0.000000
186,0.003352,0.003352,0.003352,0.000000
187,0.003351,0.003351,0.003351,0.000000
188,0.003350,0.003350,0.003350,0.000000
189,0.003350,0.003350,0.003350,0.000000
190,0.003349,0.003349,0.003349,0.000000
191,0.003348,0.003348,0.003348,0.000000
192,0.003348,0.003348,0.003347,0.000000
193,0.003347,0.003347,0.003347,0.000000
194,0.003346,0.003346,0.003346,0.000000
195,0.003341,0.003341,0.003341,0.000000
196,0.003336,0.003336,0.003336,0.000000
197,0.003341,0.003341,0.003341,0.000000
198,0.003343,0.003343,0.003343,0.000000
199,0.003346,0.003346,0.003346,0.000000
200,0.003348,0.003348,0.003347,0.000000
201,0.003349,0.003350,0.003349,0.000000
202,0.003351,0.003351,0.003351,0.000000
203,0.003353,0.003353,0.003353,0.000000
204,0.003355,0.003355,0.003354,0.000000
205,0.003356,0.003356,0.003356,0.000000
206,0.003358,0.003358,0.003358,0.000000
207,0.003360,0.003360,0.003360,0.000000
208,0.003362,0.003362,0.003362,0.000000
209,0.003365,0.003365,0.003365,0.000000
210,0.003369,0.003369,0.003369,0.000000
211,0.003373,0.003373,0.003373,0.000000
212,0.003379,0.003379,0.003379,0.000000
213,0.003385,0.003386,0.003385,0.000000
214,0.003391,0.003391,0.003391,0.000000
215,0.003401,0.003401,0.003401,0.000000
216,0.003414,0.003414,0.003414,0.000000
217,0.003425,0.003425,0.003425,0.000000
218,0.003439,0.003439,0.003438,0.000000
219,0.003451,0.003452,0.003451,0.000000
220,0.003469,0.003469,0.003468,0.000000
221,0.003485,0.003486,0.003485,0.000001
222,0.003507,0.003508,0.003506,0.000001
223,0.003527,0.003528,0.003526,0.000001
224,0.003543,0.003544,0.003542,0.000001
225,0.003564,0.003565,0.003563,0.000001
226,0.003588,0.003589,0.003586,0.000001
227,0.003609,0.003611,0.003608,0.000002
228,0.003629,0.003631,0.003627,0.000002
229,0.003649,0.003650,0.003647,0.000002
230,0.003663,0.003665,0.003661,0.000002
231,0.003683,0.003685,0.003680,0.000002
232,0.003692,0.003694,0.003689,0.000003
233,0.003704,0.003707,0.003702,0.000003
234,0.003716,0.003719,0.003713,0.000003
235,0.003727,0.003730,0.003724,0.000003
236,0.003735,0.003738,0.003732,0.000003
237,0.003740,0.003743,0.003737,0.000003
238,0.003739,0.003742,0.003736,0.000003
239,0.003729,0.003732,0.003726,0.000003
240,0.003688,0.003691,0.003685,0.000003
241,0.003649,0.003652,0.003647,0.000003
242,0.003613,0.003615,0.003611,0.000002
243,0.003587,0.003589,0.003585,0.000002
244,0.003563,0.003565,0.003562,0.000001
245,0.003541,0.003542,0.003539,0.000001
246,0.003521,0.003522,0.003520,0.000001
247,0.003504,0.003505,0.003503,0.000001
248,0.003489,0.003489,0.003488,0.000001
249,0.003475,0.003475,0.003474,0.000001
250,0.003462,0.003462,0.003462,0.000000
251,0.003450,0.003451,0.003450,0.000000
