observe,link
1,6
2,7
3,0
4,1
5,4
6,5
7,18
8,17
9,44
10,43
11,82
12,81
13,118
14,117
15,128
15,127
16,136
17,133
18,132
19,129
21,58
22,59
30,8
31,9
32,13
33,14
34,15
35,16
36,12
40,30
41,31
42,38
43,39
44,41
45,42
46,60
47,61
48,72
49,73
50,10
51,11
52,21
53,22
54,32
55,33
56,47
57,48
58,54
59,55
60,62
61,63
62,103
63,104
70,19
71,20
72,26
73,27
74,45
75,46
76,52
77,53
78,56
79,57
80,83
81,100
90,101
91,102
92,107
93,108
94,111
95,112
