Time,inflow,outflow
264,1830.000000,1536.000000
265,1902.000000,1530.000000
266,1896.000000,1584.000000
267,1872.000000,1578.000000
268,1824.000000,1596.000000
269,1758.000000,1620.000000
270,1662.000000,1692.000000
271,1590.000000,1686.000000
272,1506.000000,1734.000000
273,1416.000000,1722.000000
274,1320.000000,1584.000000
275,1212.000000,1584.000000
276,1110.000000,1686.000000
277,1032.000000,1620.000000
278,918.000000,1632.000000
279,846.000000,1566.000000
280,768.000000,1506.000000
281,690.000000,1422.000000
282,630.000000,1338.000000
283,588.000000,1236.000000
284,528.000000,1176.000000
285,492.000000,1110.000000
286,450.000000,1038.000000
287,426.000000,918.000000
288,390.000000,912.000000
289,354.000000,852.000000
290,354.000000,780.000000
291,306.000000,738.000000
292,276.000000,630.000000
293,252.000000,642.000000
294,216.000000,546.000000
295,204.000000,510.000000
296,168.000000,504.000000
297,156.000000,498.000000
298,138.000000,414.000000
299,126.000000,408.000000
300,114.000000,366.000000
301,96.000000,330.000000
302,84.000000,294.000000
303,96.000000,264.000000
304,78.000000,246.000000
305,66.000000,234.000000
306,66.000000,216.000000
307,66.000000,174.000000
308,66.000000,138.000000
309,60.000000,150.000000
310,60.000000,114.000000
311,36.000000,138.000000
312,30.000000,126.000000
313,48.000000,114.000000
314,48.000000,96.000000
315,108.000000,102.000000
316,36.000000,96.000000
317,48.000000,78.000000
318,48.000000,84.000000
319,48.000000,66.000000
