Time,inflow,outflow
1,36.000000,0.000000
2,78.000000,0.000000
3,78.000000,0.000000
4,78.000000,0.000000
5,78.000000,0.000000
6,78.000000,0.000000
7,78.000000,0.000000
8,84.000000,6.000000
9,78.000000,0.000000
10,78.000000,6.000000
11,78.000000,0.000000
12,102.000000,6.000000
13,84.000000,0.000000
14,78.000000,12.000000
15,102.000000,42.000000
16,84.000000,6.000000
17,78.000000,0.000000
18,108.000000,12.000000
19,78.000000,42.000000
20,108.000000,6.000000
21,96.000000,0.000000
22,90.000000,72.000000
23,102.000000,12.000000
24,102.000000,12.000000
25,90.000000,54.000000
26,108.000000,6.000000
27,108.000000,66.000000
28,108.000000,12.000000
29,108.000000,54.000000
30,108.000000,30.000000
31,108.000000,30.000000
32,108.000000,66.000000
33,108.000000,30.000000
34,108.000000,66.000000
35,108.000000,30.000000
36,108.000000,90.000000
37,108.000000,36.000000
38,126.000000,78.000000
39,120.000000,60.000000
40,108.000000,36.000000
41,132.000000,78.000000
42,108.000000,78.000000
43,114.000000,78.000000
44,102.000000,78.000000
45,114.000000,78.000000
46,138.000000,78.000000
47,138.000000,84.000000
48,138.000000,84.000000
49,138.000000,84.000000
50,138.000000,84.000000
51,138.000000,84.000000
52,138.000000,84.000000
53,138.000000,84.000000
54,138.000000,84.000000
55,138.000000,90.000000
56,138.000000,96.000000
57,138.000000,90.000000
58,126.000000,90.000000
59,138.000000,90.000000
60,138.000000,90.000000
61,138.000000,96.000000
62,138.000000,90.000000
63,138.000000,90.000000
64,138.000000,96.000000
65,138.000000,102.000000
66,138.000000,108.000000
67,120.000000,102.000000
68,138.000000,126.000000
69,138.000000,0.000000
70,138.000000,0.000000
71,138.000000,0.000000
72,138.000000,0.000000
73,144.000000,0.000000
74,138.000000,0.000000
75,144.000000,0.000000
76,138.000000,0.000000
77,144.000000,0.000000
78,138.000000,0.000000
79,144.000000,0.000000
80,138.000000,0.000000
81,144.000000,0.000000
82,138.000000,0.000000
83,144.000000,0.000000
84,138.000000,0.000000
85,144.000000,0.000000
86,144.000000,0.000000
87,144.000000,0.000000
