Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.622222,0.622222,0.622222,0.000000,0.622222
2,1.220302,1.222990,1.217613,0.000007,1.274074
3,1.766695,1.772512,1.760879,0.000034,1.925926
4,2.265870,2.275171,2.256568,0.000087,2.577778
5,2.721906,2.734870,2.708942,0.000168,3.229630
6,3.138531,3.155223,3.121840,0.000279,3.229630
7,3.519152,3.539559,3.498745,0.000416,3.881481
8,3.866880,3.890938,3.842821,0.000579,3.925926
9,4.184557,4.212166,4.156947,0.000762,4.533333
10,4.474780,4.505815,4.443745,0.000963,5.185185
11,4.739923,4.774241,4.705604,0.001178,5.185185
12,4.982152,5.019602,4.944701,0.001403,5.837037
13,5.203447,5.243870,5.163024,0.001634,5.837037
14,5.405618,5.448855,5.362382,0.001869,6.488889
15,5.590318,5.636208,5.544428,0.002106,6.488889
16,5.759056,5.807441,5.710671,0.002341,7.140741
17,5.913212,5.963939,5.862484,0.002573,7.140741
18,6.054045,6.106966,6.001124,0.002801,7.185185
19,6.182708,6.237679,6.127736,0.003022,7.792593
20,6.300252,6.357137,6.243367,0.003236,7.792593
21,6.407637,6.466305,6.348969,0.003442,7.792593
22,6.505743,6.566070,6.445415,0.003639,7.792593
23,6.595370,6.657240,6.533500,0.003828,7.792593
24,6.662437,6.725738,6.599135,0.004007,7.777778
25,6.708893,6.773494,6.644292,0.004173,7.748148
26,6.751334,6.817088,6.685580,0.004324,7.718519
27,6.790108,6.856889,6.723327,0.004460,7.688889
28,6.825531,6.893229,6.757832,0.004583,7.659259
29,6.857892,6.926413,6.789371,0.004695,7.629630
30,6.887457,6.956716,6.818198,0.004797,7.600000
31,6.914467,6.984391,6.844543,0.004889,7.570370
32,6.939143,7.009666,6.868619,0.004974,7.540741
33,6.961686,7.032751,6.890621,0.005050,7.540741
34,6.982281,7.053835,6.910726,0.005120,7.525926
35,7.001096,7.073094,6.929098,0.005184,7.511111
36,7.018285,7.090685,6.945886,0.005242,8.074074
37,7.033989,7.106753,6.961225,0.005295,8.074074
38,7.048336,7.121431,6.975240,0.005343,8.074074
39,7.061442,7.134839,6.988046,0.005387,8.074074
40,7.073417,7.147087,6.999747,0.005427,8.074074
41,7.158430,7.232349,7.084511,0.005464,8.148148
42,7.162022,7.236301,7.087744,0.005517,8.148148
43,7.165304,7.239888,7.090721,0.005563,8.148148
44,7.168303,7.243146,7.093460,0.005602,8.148148
45,7.245116,7.320181,7.170052,0.005635,8.222222
46,7.241217,7.316603,7.165831,0.005683,8.222222
47,7.311729,7.387376,7.236083,0.005722,8.296296
48,7.302074,7.378063,7.226085,0.005774,8.296296
49,7.367327,7.443583,7.291070,0.005815,8.370370
50,7.352866,7.429462,7.276270,0.005867,8.370370
51,7.413730,7.490582,7.336877,0.005906,8.444444
52,7.395259,7.472433,7.318085,0.005956,8.444444
53,7.378385,7.455794,7.300976,0.005992,8.444444
54,7.437043,7.514618,7.359469,0.006018,8.444444
55,7.416558,7.494374,7.338741,0.006055,8.444444
56,7.471917,7.549899,7.393935,0.006081,8.518519
57,7.448418,7.526636,7.370200,0.006118,8.518519
58,7.575098,7.653470,7.496726,0.006142,8.592593
59,7.690830,7.769557,7.612103,0.006198,8.740741
60,7.722487,7.801717,7.643256,0.006277,8.740741
61,7.677334,7.757039,7.597628,0.006353,8.740741
62,7.784231,7.864249,7.704212,0.006403,8.814815
63,7.941149,8.021620,7.860678,0.006476,9.022222
64,8.084507,8.165638,8.003376,0.006582,9.155556
65,8.215475,8.297415,8.133535,0.006714,9.362963
66,8.335125,8.417976,8.252275,0.006864,9.570370
67,8.444436,8.528259,8.360613,0.007026,9.703704
68,8.336892,8.421720,8.252063,0.007196,9.703704
69,8.238642,8.324104,8.153180,0.007304,9.629630
70,8.356290,8.442100,8.270480,0.007363,9.837037
71,8.256364,8.342674,8.170053,0.007450,9.688889
72,8.579888,8.666435,8.493340,0.007490,9.955556
73,8.875453,8.962782,8.788124,0.007626,10.296296
74,9.160291,9.248812,9.071769,0.007836,10.725926
75,9.627920,9.717959,9.537880,0.008107,11.214815
76,9.981062,10.073243,9.888882,0.008497,11.570370
77,10.362946,10.457562,10.268330,0.008952,11.985185
78,10.741457,10.838807,10.644107,0.009477,12.429630
79,11.176146,11.276466,11.075825,0.010064,12.962963
80,11.499195,11.602791,11.395598,0.010732,13.422222
81,11.794326,11.901221,11.687431,0.011427,14.088889
82,12.182471,12.292627,12.072315,0.012134,14.281481
83,11.929665,12.043238,11.816091,0.012899,14.222222
84,11.580188,11.696046,11.464329,0.013423,13.866667
85,11.260912,11.377991,11.143833,0.013707,13.511111
86,10.924784,11.042293,10.807274,0.013809,13.096296
87,11.669556,11.786832,11.552280,0.013754,13.748148
88,11.283298,11.401712,11.164883,0.014022,13.259259
89,12.041531,12.160193,11.922870,0.014080,14.000000
90,11.623127,11.743375,11.502880,0.014460,13.466667
91,12.426067,12.546860,12.305274,0.014591,14.607407
92,11.974432,12.097156,11.851707,0.015061,14.029630
93,12.761826,12.885309,12.638344,0.015248,14.696296
94,12.281175,12.406744,12.155606,0.015768,14.133333
95,13.101320,13.227718,12.974922,0.015976,14.800000
96,13.657996,13.786602,13.529390,0.016539,15.244444
97,13.159157,13.290639,13.027675,0.017287,15.096296
98,12.644168,12.777067,12.511269,0.017662,14.414815
99,13.344055,13.477196,13.210913,0.017727,15.585185
100,12.813087,12.947698,12.678476,0.018120,15.125926
101,13.498376,13.633243,13.363508,0.018189,15.688889
