Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.015873,0.015873,0.015873,0.000000,0.015873
5,0.014403,0.014477,0.014330,0.000000,0.015873
6,0.028943,0.029037,0.028848,0.000000,0.031746
7,0.042136,0.042295,0.041977,0.000000,0.047619
8,0.054107,0.054350,0.053865,0.000000,0.063492
9,0.064970,0.065304,0.064637,0.000000,0.063492
10,0.154193,0.154619,0.153766,0.000000,0.158730
11,0.235154,0.235966,0.234342,0.000001,0.238095
12,0.324491,0.325806,0.323177,0.000002,0.333333
13,0.469049,0.470967,0.467131,0.000004,0.492063
14,0.616095,0.618878,0.613312,0.000008,0.666667
15,0.765398,0.769208,0.761589,0.000015,0.873016
16,0.980242,0.985193,0.975292,0.000025,1.063492
17,1.111701,1.118087,1.105316,0.000041,1.190476
18,1.262734,1.270484,1.254984,0.000060,1.349206
19,1.415656,1.424801,1.406511,0.000084,1.523810
20,1.633783,1.644357,1.623208,0.000112,1.777778
21,1.736475,1.748693,1.724257,0.000149,1.952381
22,1.829658,1.843353,1.815964,0.000188,2.095238
23,2.041198,2.056237,2.026159,0.000226,2.285714
24,2.153785,2.170385,2.137186,0.000276,2.380952
25,2.271821,2.289885,2.253757,0.000326,2.603175
26,2.474166,2.493642,2.454690,0.000379,2.793651
27,2.594283,2.615343,2.573223,0.000444,2.888889
28,2.703278,2.725849,2.680706,0.000509,2.984127
29,2.897419,2.921421,2.873416,0.000576,3.158730
30,2.994219,3.019798,2.968639,0.000654,3.428571
31,3.161421,3.188456,3.134385,0.000731,3.619048
32,3.249649,3.278216,3.221082,0.000816,3.746032
33,3.409073,3.439045,3.379101,0.000898,3.904762
34,3.490243,3.521688,3.458799,0.000989,3.952381
35,3.643263,3.676054,3.610472,0.001075,4.079365
36,3.702749,3.736953,3.668546,0.001170,4.142857
37,3.836093,3.871549,3.800636,0.001257,4.238095
38,3.893597,3.930347,3.856847,0.001351,4.269841
39,4.025143,4.063050,3.987235,0.001437,4.380952
40,4.065143,4.104264,4.026021,0.001530,4.396825
41,4.180804,4.220984,4.140624,0.001614,4.492063
42,4.206391,4.247670,4.165112,0.001704,4.507937
43,4.308974,4.351191,4.266756,0.001782,4.587302
44,4.322693,4.365885,4.279501,0.001866,4.777778
45,4.414507,4.458514,4.370501,0.001937,4.873016
46,4.005757,4.050615,3.960898,0.002012,4.492063
47,3.634853,3.679584,3.590122,0.002001,4.095238
48,3.298293,3.342233,3.254353,0.001931,3.777778
49,2.992895,3.035591,2.950199,0.001823,3.523810
50,2.715775,2.756922,2.674629,0.001693,3.206349
51,7.353204,7.392601,7.313806,0.001552,8.000000
52,11.561240,11.610606,11.511875,0.002437,12.174603
53,15.379644,15.449440,15.309848,0.004871,15.968254
54,18.844492,18.939786,18.749198,0.009081,19.476190
55,22.004393,22.127229,21.881557,0.015089,23.095238
56,24.855838,25.006842,24.704835,0.022802,26.444444
57,27.236911,27.415845,27.057978,0.032017,29.142857
58,28.968944,29.174525,28.763362,0.042264,30.761905
59,30.239015,30.468770,30.009260,0.052787,32.460317
60,31.121646,31.372772,30.870520,0.063064,33.777778
61,31.700329,31.969935,31.430723,0.072687,34.714286
62,32.019082,32.304372,31.733792,0.081390,35.714286
63,32.117844,32.416159,31.819530,0.088992,35.857143
64,32.048732,32.357578,31.739885,0.095386,35.682540
65,31.827288,32.144395,31.510181,0.100557,35.349206
66,31.499365,31.822646,31.176083,0.104511,34.841270
67,31.090693,31.418294,30.763093,0.107322,34.317460
68,30.608751,30.939036,30.278466,0.109088,33.634921
69,30.076195,30.407714,29.744675,0.109905,32.825397
70,29.513584,29.845073,29.182095,0.109885,32.063492
71,28.939575,29.269954,28.609196,0.109150,32.190476
72,28.339350,28.667718,28.010981,0.107826,31.619048
73,27.747082,28.072656,27.421508,0.105998,30.936508
74,27.146162,27.468313,26.824010,0.103782,31.000000
75,26.537390,26.855587,26.219193,0.101250,30.904762
76,25.905621,26.219411,25.591831,0.098464,30.063492
77,25.252984,25.561951,24.944018,0.095460,29.111111
78,24.232205,24.535967,23.928443,0.092271,28.555556
79,23.258324,23.555919,22.960729,0.088563,28.285714
80,22.374617,22.665336,22.083897,0.084518,27.000000
81,21.572734,21.856147,21.289321,0.080323,25.793651
82,20.845100,21.120987,20.569213,0.076113,24.682540
83,20.184839,20.453141,19.916538,0.071986,23.714286
84,19.585714,19.846494,19.324934,0.068006,22.984127
85,19.042063,19.295478,18.788649,0.064219,22.301587
86,18.850338,19.096611,18.604065,0.060650,21.920635
87,18.676365,18.916273,18.436456,0.057556,21.539683
88,18.518500,18.752740,18.284260,0.054868,21.126984
89,18.375253,18.604446,18.146060,0.052529,20.777778
90,18.245269,18.469970,18.020569,0.050490,20.444444
91,18.127321,18.348022,17.906619,0.048709,20.253968
92,18.020294,18.237436,17.803152,0.047151,20.000000
93,17.923177,18.137150,17.709204,0.045784,20.190476
94,17.835052,18.046203,17.623901,0.044585,20.492063
95,17.755087,17.963723,17.546450,0.043529,20.793651
96,17.682526,17.888921,17.476130,0.042599,21.095238
97,17.616684,17.821080,17.412287,0.041778,21.396825
98,17.556938,17.759551,17.354324,0.041052,21.698413
99,17.502724,17.703745,17.301702,0.040410,22.000000
100,17.453530,17.653129,17.253931,0.039840,22.000000
101,17.408891,17.607218,17.210564,0.039334,22.000000
102,17.368385,17.565574,17.171196,0.038884,22.000000
103,17.331630,17.527800,17.135460,0.038483,22.000000
104,17.298278,17.493535,17.103021,0.038125,22.000000
105,17.268014,17.462453,17.073576,0.037806,22.000000
106,17.240552,17.434256,17.046849,0.037521,22.000000
107,17.215634,17.408678,17.022589,0.037266,22.000000
108,17.193022,17.385474,17.000570,0.037038,22.000000
