Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.011523,0.012099,0.010947,0.000000,0.000000
9,0.027313,0.028248,0.026378,0.000001,0.000000
10,0.052579,0.054082,0.051076,0.000002,0.000000
11,0.086092,0.088218,0.083967,0.000005,0.088889
12,0.126784,0.129534,0.124034,0.000008,0.088889
13,0.179485,0.183045,0.175925,0.000013,0.133333
14,0.225354,0.229209,0.221499,0.000015,0.133333
15,0.314249,0.319818,0.308680,0.000031,0.266667
16,0.420426,0.427615,0.413237,0.000052,0.311111
17,0.455638,0.464451,0.446826,0.000078,0.311111
18,0.553776,0.564247,0.543304,0.000110,0.400000
19,0.721085,0.733456,0.708713,0.000153,0.400000
20,0.818146,0.832372,0.803919,0.000202,0.688889
21,0.934312,0.950388,0.918236,0.000258,0.600000
22,1.158877,1.176817,1.140936,0.000322,1.066667
23,1.225524,1.245354,1.205695,0.000393,1.111111
24,1.490117,1.511863,1.468370,0.000473,1.155556
25,1.530698,1.554392,1.507005,0.000561,1.155556
26,1.791945,1.817614,1.766276,0.000659,1.422222
27,2.029615,2.057288,2.001942,0.000766,1.666667
28,2.154994,2.184696,2.125292,0.000882,1.755556
29,2.429141,2.460729,2.397552,0.000998,2.044444
30,2.678038,2.711523,2.644554,0.001121,2.266667
31,2.832531,2.867848,2.797214,0.001247,2.444444
32,2.937779,2.974905,2.900654,0.001378,2.533333
33,3.121977,3.160752,3.083201,0.001504,2.755556
34,3.211515,3.251941,3.171088,0.001634,2.866667
35,3.382038,3.424060,3.340017,0.001766,3.044444
36,3.498359,3.541883,3.454834,0.001894,3.155556
37,3.736637,3.781556,3.691718,0.002018,3.422222
38,3.873246,3.919443,3.827049,0.002134,3.577778
39,4.084739,4.132097,4.037381,0.002243,3.600000
40,4.370050,4.418456,4.321645,0.002343,3.888889
41,4.483809,4.533155,4.434464,0.002435,4.044444
42,4.758542,4.808727,4.708357,0.002519,4.355556
43,4.732640,4.783722,4.681559,0.002609,4.355556
44,4.726969,4.777050,4.676888,0.002508,4.355556
45,4.572650,4.620635,4.524665,0.002303,4.133333
46,4.455208,4.500477,4.409938,0.002049,4.022222
47,4.292495,4.334727,4.250264,0.001783,3.800000
48,4.334826,4.373892,4.295761,0.001526,3.844444
49,4.209530,4.245429,4.173631,0.001289,3.577778
50,4.165496,4.198310,4.132683,0.001077,3.577778
51,4.006594,4.036457,3.976732,0.000892,3.466667
52,3.936192,3.963270,3.909114,0.000733,3.377778
53,3.690554,3.715031,3.666077,0.000599,3.000000
54,3.583342,3.605410,3.561275,0.000487,3.155556
55,3.305666,3.325515,3.285818,0.000394,2.822222
56,3.336413,3.359208,3.313619,0.000520,2.777778
57,3.463586,3.493980,3.433192,0.000924,2.777778
58,3.838059,3.877934,3.798185,0.001590,3.177778
59,4.169751,4.219379,4.120124,0.002463,3.444444
60,4.749393,4.808328,4.690458,0.003473,4.111111
61,5.289698,5.357073,5.222322,0.004539,4.311111
62,6.000704,6.075646,5.925762,0.005616,4.711111
63,6.180037,6.261600,6.098473,0.006653,5.000000
64,6.974394,7.061707,6.887081,0.007623,5.666667
65,7.195409,7.287584,7.103233,0.008496,5.933333
66,8.036745,8.132997,7.940492,0.009265,6.555556
67,8.315109,8.414738,8.215480,0.009926,6.711111
68,8.714591,8.816968,8.612214,0.010481,7.311111
69,8.964345,9.068909,8.859782,0.010934,7.622222
70,9.238515,9.344761,9.132268,0.011288,7.977778
71,9.645045,9.752524,9.537566,0.011552,8.111111
72,9.892292,10.000601,9.783983,0.011731,8.533333
73,10.155637,10.264418,10.046856,0.011833,8.933333
74,10.410770,10.519704,10.301837,0.011866,9.000000
75,10.614312,10.723185,10.505440,0.011853,9.155556
76,10.808753,10.917357,10.700150,0.011795,9.444444
77,11.017495,11.125701,10.909289,0.011709,9.733333
78,11.216462,11.324128,11.108796,0.011592,10.000000
79,11.451365,11.558414,11.344316,0.011460,10.288889
80,11.187093,11.293424,11.080763,0.011306,10.066667
81,11.402758,11.508325,11.297192,0.011144,10.311111
82,11.096639,11.201367,10.991912,0.010968,10.022222
83,11.203454,11.307317,11.099590,0.010788,10.155556
84,11.324405,11.427415,11.221395,0.010611,10.288889
85,11.013217,11.115337,10.911097,0.010429,10.000000
86,11.115619,11.216852,11.014385,0.010248,10.111111
87,11.232730,11.333106,11.132354,0.010075,10.244444
88,11.343302,11.442867,11.243737,0.009913,10.355556
89,11.003738,11.102547,10.904930,0.009763,10.022222
90,11.123007,11.221050,11.024964,0.009612,10.133333
91,11.235456,11.332751,11.138162,0.009466,10.244444
92,11.386416,11.482997,11.289835,0.009328,10.400000
93,11.065543,11.161455,10.969631,0.009199,10.200000
94,11.206841,11.302135,11.111547,0.009081,10.200000
95,11.296901,11.391559,11.202242,0.008960,10.288889
96,11.425492,11.519523,11.331460,0.008842,10.422222
97,11.526714,11.620143,11.433285,0.008729,10.533333
98,11.512346,11.605208,11.419484,0.008623,10.511111
99,11.602309,11.694575,11.510043,0.008513,10.600000
100,11.578141,11.669880,11.486403,0.008416,10.577778
101,11.554226,11.645570,11.462882,0.008344,10.555556
102,11.533411,11.624529,11.442292,0.008303,10.533333
103,11.518174,11.609259,11.427090,0.008296,10.488889
104,11.596683,11.687861,11.505504,0.008314,10.533333
105,11.701639,11.792994,11.610285,0.008346,10.600000
106,11.724266,11.815916,11.632617,0.008400,10.577778
107,11.844372,11.936458,11.752285,0.008480,10.622222
108,11.797056,11.889731,11.704381,0.008589,10.511111
