Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000771,0.000809,0.000732,0.000000,0.000000
8,0.001490,0.001541,0.001439,0.000000,0.000000
9,0.002931,0.003017,0.002845,0.000000,0.000000
10,0.005047,0.005180,0.004914,0.000000,0.000000
11,0.007791,0.007976,0.007606,0.000000,0.000000
12,0.010351,0.010566,0.010137,0.000000,0.011494
13,0.015823,0.016162,0.015484,0.000000,0.011494
14,0.021698,0.022130,0.021266,0.000000,0.022989
15,0.029492,0.030052,0.028931,0.000000,0.022989
16,0.039074,0.039784,0.038365,0.000001,0.034483
17,0.050327,0.051195,0.049458,0.000001,0.045977
18,0.063137,0.064170,0.062104,0.000001,0.045977
19,0.065906,0.067105,0.064707,0.000001,0.034483
20,0.081525,0.082889,0.080161,0.000002,0.080460
21,0.099179,0.100728,0.097630,0.000002,0.091954
22,0.118733,0.120477,0.116988,0.000003,0.091954
23,0.128563,0.130509,0.126618,0.000004,0.114943
24,0.151541,0.153690,0.149393,0.000005,0.114943
25,0.176062,0.178411,0.173712,0.000006,0.149425
26,0.202020,0.204568,0.199473,0.000006,0.149425
27,0.217827,0.220568,0.215086,0.000008,0.172414
28,0.211898,0.214826,0.208969,0.000009,0.137931
29,0.241619,0.244729,0.238509,0.000010,0.172414
30,0.272431,0.275716,0.269145,0.000011,0.206897
31,0.304259,0.307712,0.300805,0.000012,0.241379
32,0.290288,0.293886,0.286690,0.000013,0.229885
33,0.322460,0.326182,0.318738,0.000014,0.241379
34,0.355558,0.359405,0.351712,0.000015,0.275862
35,0.343543,0.347513,0.339572,0.000016,0.241379
36,0.378310,0.382401,0.374218,0.000017,0.275862
37,0.413828,0.418039,0.409618,0.000018,0.287356
38,0.404071,0.408397,0.399746,0.000019,0.275862
39,0.441716,0.446169,0.437264,0.000020,0.321839
40,0.480690,0.485279,0.476102,0.000021,0.367816
41,0.486422,0.491152,0.481692,0.000022,0.379310
42,0.528564,0.533454,0.523674,0.000024,0.425287
43,0.526528,0.531591,0.521464,0.000026,0.425287
44,0.572147,0.577392,0.566901,0.000028,0.471264
45,0.572583,0.577999,0.567166,0.000029,0.471264
46,0.620508,0.626101,0.614916,0.000031,0.517241
47,0.623867,0.629639,0.618096,0.000033,0.505747
48,0.674520,0.680470,0.668569,0.000035,0.551724
49,0.680423,0.686550,0.674295,0.000038,0.551724
50,0.734219,0.740537,0.727901,0.000040,0.597701
51,0.744597,0.751131,0.738064,0.000043,0.609195
52,0.804110,0.810893,0.797327,0.000046,0.655172
53,0.822133,0.829224,0.815041,0.000050,0.666667
54,0.879595,0.887055,0.872135,0.000056,0.701149
55,0.907200,0.915072,0.899327,0.000062,0.724138
56,0.939119,0.947432,0.930805,0.000069,0.735632
57,0.976605,0.985412,0.967797,0.000078,0.758621
58,1.020055,1.029410,1.010700,0.000088,0.816092
59,1.069069,1.079005,1.059133,0.000099,0.862069
60,1.123274,1.133811,1.112737,0.000111,0.885057
61,1.183094,1.194257,1.171930,0.000125,0.954023
62,1.259644,1.271447,1.247842,0.000139,1.022989
63,1.329587,1.342031,1.317144,0.000155,1.068966
64,1.404089,1.417168,1.391010,0.000171,1.160920
65,1.484384,1.498123,1.470646,0.000189,1.241379
66,1.558592,1.573001,1.544182,0.000208,1.321839
67,1.650107,1.665207,1.635008,0.000228,1.425287
68,1.735553,1.751349,1.719757,0.000250,1.459770
69,1.838324,1.854831,1.821817,0.000272,1.574713
70,1.923546,1.940769,1.906324,0.000297,1.666667
71,2.026880,2.044847,2.008913,0.000323,1.781609
72,2.125664,2.144408,2.106920,0.000351,1.896552
73,2.230925,2.250462,2.211388,0.000382,2.011494
74,2.455324,2.477679,2.432968,0.000500,2.241379
75,2.759405,2.785909,2.732901,0.000702,2.540230
76,3.074189,3.105487,3.042891,0.000980,2.850575
77,3.470941,3.507239,3.434643,0.001318,3.252874
78,3.839175,3.880443,3.797908,0.001703,3.609195
79,4.264280,4.310338,4.218223,0.002121,4.045977
80,4.694153,4.744725,4.643582,0.002557,4.471264
81,5.090139,5.144924,5.035354,0.003001,4.873563
82,5.561746,5.620390,5.503101,0.003439,5.356322
83,5.988189,6.050285,5.926092,0.003856,5.793103
84,6.503492,6.568634,6.438349,0.004244,6.310345
85,6.977571,7.045359,6.909784,0.004595,6.793103
86,7.142659,7.212697,7.072621,0.004905,6.954023
87,7.353445,7.425378,7.281511,0.005174,7.172414
88,7.618358,7.691833,7.544883,0.005399,7.448276
89,7.889333,7.964016,7.814651,0.005578,7.724138
90,8.085506,8.161111,8.009901,0.005716,7.908046
91,8.307632,8.383867,8.231397,0.005812,8.137931
92,8.508765,8.585368,8.432163,0.005868,8.344828
93,8.655060,8.731817,8.578302,0.005892,8.494253
94,8.941741,9.018470,8.865012,0.005887,8.781609
95,9.092782,9.169322,9.016242,0.005858,8.919540
96,9.060512,9.136696,8.984329,0.005804,8.896552
97,9.178994,9.254690,9.103299,0.005730,9.022989
98,9.113265,9.188331,9.038198,0.005635,8.954023
99,9.024264,9.098579,8.949949,0.005523,8.873563
100,9.039988,9.113472,8.966504,0.005400,8.862069
101,8.975674,9.048244,8.903104,0.005266,8.793103
102,8.890306,8.961913,8.818698,0.005128,8.712644
103,8.768405,8.838944,8.697867,0.004976,8.597701
104,8.792477,8.861833,8.723122,0.004810,8.586207
105,8.673855,8.741908,8.605802,0.004631,8.471264
106,8.626692,8.693450,8.559934,0.004457,8.436782
107,8.479176,8.544656,8.413697,0.004288,8.275862
108,8.399661,8.463814,8.335508,0.004116,8.206897
