Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.066667,0.066667,0.066667,0.000000,0.066667
15,0.040741,0.042037,0.039444,0.000002,0.066667
16,0.224897,0.226018,0.223777,0.000001,0.266667
17,0.270770,0.275197,0.266344,0.000020,0.333333
18,0.298804,0.304724,0.292884,0.000035,0.466667
19,0.382603,0.389448,0.375757,0.000047,0.400000
20,0.433813,0.442349,0.425277,0.000073,0.466667
21,0.531774,0.541694,0.521855,0.000098,0.666667
22,0.658307,0.670294,0.646319,0.000144,0.800000
23,0.802298,0.817049,0.787548,0.000218,1.000000
24,0.890294,0.908313,0.872274,0.000325,1.133333
25,1.010735,1.031255,0.990215,0.000421,1.200000
26,1.151005,1.174321,1.127688,0.000544,1.400000
27,1.236725,1.263261,1.210190,0.000704,1.400000
28,1.289110,1.318119,1.260101,0.000842,1.600000
29,1.387789,1.418496,1.357083,0.000943,1.600000
30,1.514760,1.547634,1.481887,0.001081,1.666667
31,1.592353,1.628012,1.556695,0.001272,1.733333
32,1.706438,1.744306,1.668570,0.001434,1.800000
33,1.776157,1.816617,1.735696,0.001637,2.000000
34,1.818762,1.861245,1.776280,0.001805,2.000000
35,1.844799,1.888678,1.800920,0.001925,2.066667
36,1.860711,1.905505,1.815917,0.002006,2.000000
37,1.937101,1.982479,1.891723,0.002059,2.066667
38,1.983784,2.030565,1.937003,0.002188,2.066667
39,2.012312,2.060334,1.964291,0.002306,2.066667
40,2.029746,2.078666,1.980827,0.002393,2.066667
41,2.040401,2.089921,1.990880,0.002452,2.066667
42,2.046911,2.096820,1.997003,0.002491,2.066667
43,2.050890,2.101043,2.000738,0.002515,2.066667
44,2.053322,2.103627,2.003017,0.002531,2.066667
45,2.054808,2.105207,2.004409,0.002540,2.066667
46,2.055716,2.106173,2.005259,0.002546,2.066667
47,2.056271,2.106764,2.005778,0.002550,2.066667
48,2.056610,2.107125,2.006095,0.002552,2.066667
49,1.256817,1.307345,1.206289,0.002553,1.266667
50,0.768055,0.807446,0.728664,0.001552,0.800000
51,6.402700,6.431039,6.374361,0.000803,6.466667
52,9.779428,9.905125,9.653731,0.015800,9.866667
53,11.909650,12.114749,11.704551,0.042066,12.000000
54,13.211453,13.474803,12.948103,0.069353,13.666667
55,14.006999,14.310180,13.703818,0.091919,15.400000
56,14.426499,14.755956,14.097043,0.108542,16.400000
57,14.616194,14.961542,14.270846,0.119265,16.000000
58,14.732119,15.086177,14.378060,0.125357,16.333333
59,14.802961,15.162017,14.443906,0.128921,15.800000
60,14.446254,14.808255,14.084254,0.131044,15.133333
61,13.894933,14.252555,13.537311,0.127893,14.933333
62,13.291348,13.638922,12.943774,0.120808,13.933333
63,12.655824,12.990420,12.321227,0.111955,13.066667
64,12.000781,12.320798,11.680764,0.102411,12.733333
65,10.933811,11.238337,10.629285,0.092736,11.800000
66,9.415107,9.697715,9.132498,0.079868,10.000000
67,7.953676,8.205415,7.701937,0.063372,8.533333
68,6.593913,6.812108,6.375718,0.047609,7.133333
69,5.429614,5.614646,5.244581,0.034237,5.933333
70,4.518097,4.672840,4.363355,0.023945,4.933333
71,4.027726,4.156837,3.898616,0.016670,5.600000
72,4.061388,4.172587,3.950189,0.012365,5.466667
73,4.148626,4.252833,4.044419,0.010859,5.200000
74,4.001938,4.104733,3.899143,0.010567,4.733333
75,4.245629,4.345656,4.145602,0.010005,4.933333
76,4.461218,4.563958,4.358477,0.010556,5.133333
77,4.659633,4.766735,4.552531,0.011471,5.600000
78,4.780887,4.892678,4.669096,0.012497,5.733333
79,4.921653,5.037039,4.806268,0.013314,5.866667
80,5.074344,5.193236,4.955451,0.014135,6.000000
81,5.100988,5.223542,4.978433,0.015020,5.800000
82,5.250604,5.374913,5.126295,0.015453,6.200000
83,5.342036,5.469315,5.214756,0.016200,6.266667
84,5.397911,5.527702,5.268119,0.016846,6.400000
85,5.498723,5.630306,5.367140,0.017314,6.466667
86,5.560331,5.694138,5.426524,0.017904,6.533333
87,5.597980,5.733563,5.462397,0.018383,6.600000
88,5.620988,5.757810,5.484165,0.018720,6.600000
89,5.701715,5.839352,5.564077,0.018944,6.666667
90,5.751048,5.890236,5.611860,0.019373,6.733333
91,5.781196,5.921722,5.640670,0.019747,6.800000
92,5.799620,5.941108,5.658132,0.020019,6.800000
93,5.810879,5.953009,5.668749,0.020201,6.800000
94,5.817759,5.960302,5.675217,0.020318,6.800000
95,5.821964,5.964766,5.679161,0.020393,6.800000
96,5.824534,5.967498,5.681569,0.020439,6.800000
97,5.826104,5.969168,5.683040,0.020467,6.800000
98,5.827063,5.970189,5.683938,0.020485,6.800000
99,5.827650,5.970813,5.684486,0.020496,6.800000
100,5.828008,5.971195,5.684822,0.020502,6.800000
101,5.828227,5.971428,5.685026,0.020506,6.800000
102,5.828361,5.971571,5.685152,0.020509,6.800000
103,5.828443,5.971658,5.685228,0.020510,6.800000
104,5.828493,5.971711,5.685275,0.020511,6.800000
105,5.828523,5.971743,5.685303,0.020512,6.800000
106,5.828542,5.971763,5.685321,0.020512,6.800000
107,5.828554,5.971775,5.685332,0.020513,6.800000
108,5.828560,5.971783,5.685338,0.020513,6.800000
