Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.296296,0.296296,0.296296,0.000000,0.296296
6,0.464563,0.470965,0.458162,0.000041,0.592593
7,0.634196,0.644872,0.623521,0.000114,0.666667
8,0.730531,0.745516,0.715546,0.000225,1.037037
9,0.933388,0.951322,0.915454,0.000322,0.888889
10,1.196739,1.219334,1.174144,0.000511,1.185185
11,1.420370,1.449239,1.391502,0.000833,1.481481
12,1.547371,1.582168,1.512573,0.001211,1.629630
13,1.693569,1.732411,1.654727,0.001509,1.777778
14,1.850669,1.893401,1.807936,0.001826,2.148148
15,1.939886,1.986667,1.893105,0.002188,2.148148
16,2.064627,2.114259,2.014994,0.002463,2.222222
17,2.209541,2.262317,2.156765,0.002785,2.370370
18,2.291838,2.348216,2.235461,0.003178,2.444444
19,2.338575,2.397552,2.279598,0.003478,2.444444
20,2.365117,2.425748,2.304485,0.003676,2.666667
21,2.380190,2.441820,2.318559,0.003798,2.592593
22,2.462824,2.525043,2.400605,0.003871,2.592593
23,2.509752,2.573639,2.445865,0.004082,2.592593
24,2.536402,2.601659,2.471146,0.004258,2.592593
25,2.551537,2.617706,2.485369,0.004378,2.592593
26,2.560132,2.626863,2.493402,0.004453,2.592593
27,2.565013,2.632077,2.497949,0.004498,2.592593
28,2.567785,2.635043,2.500527,0.004524,2.592593
29,2.569360,2.636730,2.501990,0.004539,2.592593
30,2.570254,2.637688,2.502819,0.004547,2.592593
31,2.570761,2.638232,2.503291,0.004552,2.592593
32,2.571050,2.638541,2.503558,0.004555,2.592593
33,2.571213,2.638717,2.503710,0.004557,2.592593
34,2.571306,2.638817,2.503796,0.004558,2.592593
35,2.571359,2.638873,2.503845,0.004558,2.592593
36,2.571389,2.638905,2.503873,0.004558,2.592593
37,2.571406,2.638924,2.503889,0.004559,2.592593
38,2.571416,2.638934,2.503898,0.004559,2.592593
39,2.571421,2.638940,2.503903,0.004559,2.592593
40,2.571424,2.638943,2.503906,0.004559,2.592593
41,2.571426,2.638945,2.503907,0.004559,2.592593
42,2.571427,2.638946,2.503908,0.004559,2.592593
43,2.571428,2.638947,2.503909,0.004559,2.592593
44,2.571428,2.638947,2.503909,0.004559,2.592593
45,2.571428,2.638947,2.503909,0.004559,2.592593
46,2.571428,2.638947,2.503909,0.004559,2.592593
47,2.571428,2.638948,2.503909,0.004559,2.592593
48,2.571429,2.638948,2.503909,0.004559,2.592593
49,2.571429,2.638948,2.503910,0.004559,2.592593
50,2.571429,2.638948,2.503910,0.004559,2.592593
51,2.571429,2.638948,2.503910,0.004559,2.592593
52,2.571429,2.638948,2.503910,0.004559,2.592593
53,2.571429,2.638948,2.503910,0.004559,2.592593
54,2.571429,2.638948,2.503910,0.004559,2.592593
55,2.571429,2.638948,2.503910,0.004559,2.592593
56,2.571429,2.638948,2.503910,0.004559,2.592593
57,2.571429,2.638948,2.503910,0.004559,2.592593
58,2.571429,2.638948,2.503910,0.004559,2.592593
59,2.571429,2.638948,2.503910,0.004559,2.592593
60,2.571429,2.638948,2.503910,0.004559,2.592593
61,2.571429,2.638948,2.503910,0.004559,2.592593
62,2.571429,2.638948,2.503910,0.004559,2.592593
63,2.571429,2.638948,2.503910,0.004559,2.592593
64,2.571429,2.638948,2.503910,0.004559,2.592593
65,2.571429,2.638948,2.503910,0.004559,2.592593
66,2.571429,2.638948,2.503910,0.004559,2.592593
67,2.571429,2.638948,2.503910,0.004559,2.592593
68,2.571429,2.638948,2.503910,0.004559,2.592593
69,2.571429,2.638948,2.503910,0.004559,2.592593
70,2.571429,2.638948,2.503910,0.004559,2.592593
71,2.571429,2.638948,2.503910,0.004559,2.592593
72,2.571429,2.638948,2.503910,0.004559,2.592593
73,2.571429,2.638948,2.503910,0.004559,2.592593
74,2.571429,2.638948,2.503910,0.004559,2.592593
75,2.571429,2.638948,2.503910,0.004559,2.592593
76,2.571429,2.638948,2.503910,0.004559,2.592593
77,2.571429,2.638948,2.503910,0.004559,2.592593
78,2.571429,2.638948,2.503910,0.004559,2.592593
79,1.460317,1.527837,1.392798,0.004559,1.481481
80,0.829316,0.878993,0.779639,0.002468,0.888889
81,0.470970,0.504407,0.437532,0.001118,0.518519
82,0.267464,0.289020,0.245908,0.000465,0.370370
83,0.151893,0.165438,0.138348,0.000183,0.370370
84,0.086260,0.094628,0.077892,0.000070,0.074074
85,0.048987,0.054095,0.043880,0.000026,0.074074
86,0.027820,0.030910,0.024730,0.000010,0.074074
87,0.015799,0.017655,0.013943,0.000003,-0.000000
88,0.008972,0.010081,0.007864,0.000001,-0.000000
89,0.005095,0.005755,0.004436,0.000000,-0.000000
90,0.002894,0.003284,0.002503,0.000000,-0.000000
91,0.001643,0.001874,0.001413,0.000000,-0.000000
92,0.000933,0.001069,0.000797,0.000000,-0.000000
93,0.000530,0.000610,0.000450,0.000000,-0.000000
94,0.000301,0.000348,0.000254,0.000000,-0.000000
95,0.000171,0.000198,0.000144,0.000000,-0.000000
96,0.000097,0.000113,0.000081,0.000000,-0.000000
97,0.000055,0.000064,0.000046,0.000000,-0.000000
98,0.000031,0.000037,0.000026,0.000000,-0.000000
99,0.000018,0.000021,0.000015,0.000000,-0.000000
100,0.000010,0.000012,0.000008,0.000000,-0.000000
101,0.000006,0.000007,0.000005,0.000000,-0.000000
102,0.000003,0.000004,0.000003,0.000000,-0.000000
103,0.000002,0.000002,0.000001,0.000000,-0.000000
104,0.000001,0.000001,0.000001,0.000000,-0.000000
105,0.000001,0.000001,0.000000,0.000000,-0.000000
106,0.000000,0.000000,0.000000,0.000000,-0.000000
107,0.000000,0.000000,0.000000,0.000000,-0.000000
108,0.000000,0.000000,0.000000,0.000000,-0.000000
